etapa,fonte,bairro_raw,motivo
acessibilidade,acidentes,ADALBERTO FERRAZ,score_baixo
acessibilidade,acidentes,ADELIA,score_baixo
acessibilidade,acidentes,ADELINA,score_baixo
acessibilidade,acidentes,AFONSO PENA,score_baixo
acessibilidade,acidentes,ALVINA,score_baixo
acessibilidade,acidentes,AMERICO WERNECK,score_baixo
acessibilidade,acidentes,ANGELICA,score_baixo
acessibilidade,acidentes,ATLANTIDA,score_baixo
acessibilidade,acidentes,AUSTIN,score_baixo
acessibilidade,acidentes,BIAS FORTES,score_baixo
acessibilidade,acidentes,BOM PASTOR,score_baixo
acessibilidade,acidentes,BOM SUCESSO,score_baixo
acessibilidade,acidentes,CAPARAO,score_baixo
acessibilidade,acidentes,CAVALIERI,score_baixo
acessibilidade,acidentes,CELESTE IMPERIO,score_baixo
acessibilidade,acidentes,DAS CASTANHEIRAS,score_baixo
acessibilidade,acidentes,DAS LARANJEIRAS,score_baixo
acessibilidade,acidentes,DAS OLIVEIRAS,score_baixo
acessibilidade,acidentes,DECIMA,score_baixo
acessibilidade,acidentes,DECIMA PRIMEIRA,score_baixo
acessibilidade,acidentes,DECIMA QUARTA,score_baixo
acessibilidade,acidentes,DECIMA SEGUNDA,score_baixo
acessibilidade,acidentes,DECIMA TERCEIRA,score_baixo
acessibilidade,acidentes,EDGARD WERNECK,score_baixo
acessibilidade,acidentes,ESPLENDOR,score_baixo
acessibilidade,acidentes,FUTURO,score_baixo
acessibilidade,acidentes,HELENA ANTIPOFF,score_baixo
acessibilidade,acidentes,INDUSTRIAL MELO VIANA,score_baixo
acessibilidade,acidentes,JOAO PESSOA,score_baixo
acessibilidade,acidentes,LIDER,score_baixo
acessibilidade,acidentes,LIDIA,score_baixo
acessibilidade,acidentes,MARILENE,score_baixo
acessibilidade,acidentes,MARINHOS,score_baixo
acessibilidade,acidentes,MAUA,score_baixo
acessibilidade,acidentes,MINAS GERAIS,score_baixo
acessibilidade,acidentes,MONTE CARMELO,score_baixo
acessibilidade,acidentes,NONA,score_baixo
acessibilidade,acidentes,NOVA SUICA,score_baixo
acessibilidade,acidentes,NOVA YORK,score_baixo
acessibilidade,acidentes,NOVO HORIZONTE,score_baixo
acessibilidade,acidentes,OITAVA,score_baixo
acessibilidade,acidentes,PALMITAL,score_baixo
acessibilidade,acidentes,PARAUNA,score_baixo
acessibilidade,acidentes,PATROCINIO,score_baixo
acessibilidade,acidentes,PRESIDENTE JUSCELINO,score_baixo
acessibilidade,acidentes,PRIMEIRA,score_baixo
acessibilidade,acidentes,PRIMEIRO DE NOVEMBRO,score_baixo
acessibilidade,acidentes,PROGRESSO,score_baixo
acessibilidade,acidentes,QUARTA,score_baixo
acessibilidade,acidentes,QUINTA,score_baixo
acessibilidade,acidentes,RESPLENDOR,score_baixo
acessibilidade,acidentes,RIACHUELO,score_baixo
acessibilidade,acidentes,SANTA ANA,score_baixo
acessibilidade,acidentes,SANTOS DUMONT,score_baixo
acessibilidade,acidentes,SAO DAMIAO,score_baixo
acessibilidade,acidentes,SAO DOMINGOS,score_baixo
acessibilidade,acidentes,"SAO JORGE, PRIMEIRA SECAO",score_baixo
acessibilidade,acidentes,"SAO JORGE, TERCEIRA SECAO",score_baixo
acessibilidade,acidentes,SAO LEOPOLDO,score_baixo
acessibilidade,acidentes,SEGUNDA,score_baixo
acessibilidade,acidentes,SEXTA,score_baixo
acessibilidade,acidentes,SINIMBU,score_baixo
acessibilidade,acidentes,TERCEIRA,score_baixo
acessibilidade,acidentes,URUCUIA,score_baixo
acessibilidade,acidentes,VARGEM DE TIJUCO,score_baixo
acessibilidade,pontos_onibus,ADALBERTO FERRAZ,score_baixo
acessibilidade,pontos_onibus,ADELIA,score_baixo
acessibilidade,pontos_onibus,ADELINA,score_baixo
acessibilidade,pontos_onibus,AFONSO PENA,score_baixo
acessibilidade,pontos_onibus,ALVINA,score_baixo
acessibilidade,pontos_onibus,AMERICO WERNECK,score_baixo
acessibilidade,pontos_onibus,ANGELICA,score_baixo
acessibilidade,pontos_onibus,ANTONIO TORRES,score_baixo
acessibilidade,pontos_onibus,ATLANTIDA,score_baixo
acessibilidade,pontos_onibus,AUSTIN,score_baixo
acessibilidade,pontos_onibus,BIAS FORTES,score_baixo
acessibilidade,pontos_onibus,BOM SUCESSO,score_baixo
acessibilidade,pontos_onibus,CAPARAO,score_baixo
acessibilidade,pontos_onibus,CELESTE IMPERIO,score_baixo
acessibilidade,pontos_onibus,DAS CASTANHEIRAS,score_baixo
acessibilidade,pontos_onibus,DAS LARANJEIRAS,score_baixo
acessibilidade,pontos_onibus,DAS OLIVEIRAS,score_baixo
acessibilidade,pontos_onibus,DECIMA,score_baixo
